food_id,Menu,ingredient_id,Amount_g,Ingredient,품목코드,단가(원/g),총 가격(원)
C140300012,도라지채소튀김,R318-020030000-0000,1.5,소금,1000736517,1.43,2.145
C140300012,도라지채소튀김,P107-101010100-0023,8,식용유,1000641822,2.588888889,20.71111111
C140300012,도라지채소튀김,R106-198050001-0000,40,애호박,1000006630,6.17,246.8
C140300012,도라지채소튀김,P116-708070200-0055,8,튀김가루,1000179226,38.38,307.04
C151000001,냉채,P120-100010400-0035,20,게맛살,1000694017,6.49,129.8
C151000001,냉채,R118-052000006-0000,3,겨자(분말),1000703599,10.43333333,31.3
C151000001,냉채,R210-003000001-0000,20,달걀,1000520018,4.105555556,82.11111111
C151000001,냉채,R106-041007601-0000,20,당근,1000006481,1.54,30.8
C151000001,냉채,R209-014008701-0000,20,돼지고기(안심),1000610934,7.56,151.2
C151000001,냉채,R106-053002201-0000,3,마늘,1000006845,5.68,17.04
